company_name,address,company_type,description
"IP-PLUS CONSULTING, INC.","8775 CLOUDLEAP COURT, SUITE P116 Columbia, Maryland 21045 United States",Uncategorized,"IP-PLUS CONSULTING, INC."
IPA PLANNING SOLUTIONS,"1210 EXCELSIOR AVENUE Oakland, California 94610 United States",Buliding & Construction,ARCHITECT; PUBLIC RELATIONS; DRAFTING; BUILDING CONSTRUCTION;
"IPOTREX INFRACTRUCTURE, INC.","914 ASHWORTH PLACE Glendora, California 91741 United States",Buliding & Construction,"C2301 PIPELINE,DRAIN INSPECTION & CLEANING; Construction Management - Commercial and Institutional Building Construction; Construction Management - Hi"
"IRB CONSTRUCTION, INC.","725 6TH STREET Marysville, California 95901 United States",Buliding & Construction,WHOLESALE BROKER OF CONSTRUCTION MATERIALS; CONSTRUCTION MANAGEMENT; BROKER; NON-STORE WHOLESALE MERCHANT; DROP-SHIPPER; WHOLESALE TRADE AGENTS AND BR
IREDE PROCESS SERVICES INC,"45 ABREW ST Bay Shore, New York 11706 United States",Business Services,IREDE PROCESS SERVICES INC
IRON CURTAIN EXTERMINATORS INC,"130 HICKS ST SUITE 13 BROOKLYN, New York 11201 United States",Business Services,IRON CURTAIN EXTERMINATORS INC
"IRON LADY ENTERPRISES, INC","1943 POPLAR STREET Philadelphia, Pennsylvania 19130 United States",Uncategorized,"CONSULTANT, PROJECT MANAGEMENT/ BUSINESS ADMIN;"
"Iron Lady Enterprises, Inc.","P.O. Box 34737 Street Philadelphia, Pennsylvania 19101-4737 United States",Buliding & Construction,"Iron work, welding, concrete reinforcement, bridge construction, industrial building construction"
"IRON TRIANGLE DEVELOPMENT, LLC","609 THIRD ST New Orleans, Louisiana 70130 United States",Buliding & Construction,Building Construction; Roofing; Masonry; Ceramic; Commercial Painting; FLOORING; Wall Covering and Painting; Residential Building Construction; Pressu
IRON WORKS FENCING,"2243 SAN DIEGO AVE. #200 San Diego, California 92110 United States",Professional Services,"CONSULTANT, NON ENGINEERING; METAL MANUFACTURING; TAX RETURN PREPARATION SERVICES; Fencing Contractor;"
"IRONHORSE WELDING, INC.","942 WEST PATAPSCO AVENUE Baltimore, Maryland 21230 United States",Uncategorized,"IRONHORSE WELDING, INC."
"IRONSHORE CONTRACTING, LLC","601 NORTH HAMMONDS FERRY ROAD, SUITE B Linthicum, Maryland 21090 United States",Uncategorized,"IRONSHORE CONTRACTING, LLC"
"IRVIN TRUCKING & DEMOLITION CO., INC.","1441 POLAND AVE New Orleans, Louisiana 70117 United States",Buliding & Construction,Building Site Preparation; Construction Management; Debris Monitoring; Trucking; Clearing and Grubbing; Removal or Relocating Structures and Obstructi
"ISAAC ENGINEERING, LLC","8040 OLD ALEXANDRIA FERRY ROAD Clinton, Maryland 20735 United States",Professional Services,"ISAAC ENGINEERING, LLC"
ISAAC HARRIS TRUCKING,"400 E. OAKS ST. Compton, California 90220 United States",Transportation,TRUCKER;
"ISAACS & SIMMONS, P.C.","1 RANDALL AVENUE, SUITE 201B Pikesville, Maryland 21208 United States",Uncategorized,"ISAACS & SIMMONS, P.C."
ISAIAH 55:11 DESIGNS COMMERCIAL,"6935 CREEKHOLLOW DRIVE, #1021 Fort Worth, Texas 76137 United States",Uncategorized,"Commercial Interior Build Out, Front Outs and Interior Design"
"ISB DESIGNS, INC.","9407 WEAVER STREET Silver Spring, Maryland 20901 United States",Uncategorized,"ISB DESIGNS, INC."
"ISCAN DIGITAL FINGERPRINTING SERVICES,","PO BOX 941775 Houston, Texas 77094-8775 United States",Uncategorized,Fingerprinting and background checks services
ISCOMP SYSTEMS INC.,"5777 W. CENTURY BLVD, STE. 560 Los Angeles, California 90045 United States",Professional Services,"CONSULTANT, NON ENGINEERING; MANAGEMENT INFORMATION SYSTEMS; DESIGN; FEASIBILITY STUDIES; SAFETY STUDIES; INTEGRATED SYSTEMS & CAD/CAM SYSTEM"
Ish Communications,"623 E. Palm Ave Redlands, California 92374 United States",Professional Services,We sell advertising for iheart radio and Creative Educational Products as well as helping companies promote their products through media.
"ISI PROFESSIONAL SERVICES, INC.","11628 S. CHOCTAW DRIVE, SUITE 251 Baton Rouge, Louisiana 70815 United States",Business Services,Information Technology; BROKER FEES FOR TEMPORARY STAFFING
"ISI, LLC","1050 17TH STREET, NW, SUITE 600 Washington, District of Columbia 20036 United States",Uncategorized,"ISI, LLC"
"Isis Designs, Inc.","1617 West 75th Street, 1A Richfield, Minnesota 55423 United States",Health,"I design custom Intentional Healing Jewelry from Semi-precious stones, gold, silver & copper."
ISIS ENVIRONMENTAL CONSULTING GROUP,"1103 WEST 41ST PLACE Los Angeles, California 90037 United States",Uncategorized,"CONSULTANT, ENVIRONMENTAL; Environmental - Environmental Impact Assessment; Environmental-Regulatory;"
ISIS STAFFING SOLUTIONS INC,"160 BROADWAY SUITE 905 New York, New York 10038 United States",Business Services,ISIS STAFFING SOLUTIONS INC
ISLAND TAPING AND PLASTERING INC,"620 EAST 85TH ROAD BROOKLYN, New York 11206 United States",Buliding & Construction,ISLAND TAPING AND PLASTERING INC
ISLE SCRIBE PRODUCTIONS,"1311 15TH ST Galveston, Texas 77550-6046 United States",Uncategorized,"Isle Scribe Productions provides research enhanced deliverables including: Grant Proposals, Web Compliant Editorial Content, PowerPoint for Corporate"
"Isom and Sons Construction, LLC","145 Arnold Avenue Cranston, Rhode Island 02905 United States",Buliding & Construction,"concrete construction, curbing, rough and finish carpentry, rebar, plastering, rehabilitation, fencing and erosion controls"
Issachar Construction & Consulting Inc.,"311 N. St. John St. Burlington, North Carolina 27217 United States",Buliding & Construction,Issachar Construction & Consulting Inc.
ISTAFF SOLUTIONS INC,"7800 N. STEMMONS FREEWAY SUITE 624 Dallas, Texas 75247 United States",Business Services,Temporary staffing services
IT DATA SOLUTIONS,"11526 STEWART LANE, SUITE B2 Silver Spring, Maryland 20904 United States",Uncategorized,IT DATA SOLUTIONS
"IT-CNP, INC.","2657-G ANNAPOLIS ROAD HANOVER, Maryland 21076 United States",Uncategorized,"IT-CNP, INC."
"IT-SEC NETWORKING CONSULTANTS, LLC","2302 SPRINGDALE LANE Waldorf, Maryland 20603 United States",Uncategorized,"IT-SEC NETWORKING CONSULTANTS, LLC"
"ITECH CONSULTING, LLC","2832 CLIFTON AVENUE, 2ND FLOOR, ROOM 2 Baltimore, Maryland 21216 United States",Uncategorized,"ITECH CONSULTING, LLC"
"ITOTS NETWORKS, LLC","2810 ARDEN FOREST LANE Bowie, Maryland 20716 United States",Uncategorized,"ITOTS NETWORKS, LLC"
ITrendNET,"3117 W Tompkins Avenue Las Vegas, Nevada 89103 United States",Education,ITrendNET is a Digital Marketing Agency & Business Consulting Firm focused on small business growth and sustainability. We are a network of effective global leaders operating with a highly developed sense of compassion and empathy.
ITS YOUR MOVE,"2610 SOUTH SALINA STREET, SUITE 11 Syracuse, New York 13205 United States",Business Services,ITS YOUR MOVE
ITTOUKOKU INTERNATIONAL,"1018 S. MONTEBELLO BLVD APT #B Montebello, California 90640 United States",Real Estate & Insurance ,JANITORIAL SERVICES;
"IV A Management Co, Inc.","2320 E Baseline Rd #148-258 Phoenix, Arizona 85042-6926 United States",Business Services,"Business management consulting, relocation & courier services; Community outreach (governmental relations); business consulting and training."
"IVA COMMUNICATIONS, LLC","911 SILVER SPRING AVENUE, SUITE 202 Silver Spring, Maryland 20910 United States",Uncategorized,"IVA COMMUNICATIONS, LLC"
"IVAN WALKS & ASSOCIATES, LLC","PO BOX 1089 Olney, Maryland 20855 United States",Uncategorized,"IVAN WALKS & ASSOCIATES, LLC"
"IVANTIS GROUP, INC.","20940 C FREDERICK ROAD, #75 Germantown, Maryland 20876 United States",Uncategorized,"IVANTIS GROUP, INC."
"IVEGONGREEN, LLC","18414 VINCENNES ST. #106 NORTHRIDGE, California 91325 United States",Uncategorized,VEGETABLES & MELONS; FRUIT & VEGETABLE MARKETS;
"IVIE, MCNEILL & WYATT","444 S. FLOWER STREET # 1800 Los Angeles, California 90071 United States",Finance & Legal,LEGAL SERVICES;
"IVY PLANNING GROUP, LLC","15204 OMEGA DRIVE, SUITE 110 Rockville, Maryland 20850 United States",Uncategorized,"IVY PLANNING GROUP, LLC"
IWUCHUKWU ENVIRONMENTAL ENGINEERING (IEE) CONSULTING,"7844 CENTER PARKWAY #124 Sacramento, California 95823 United States",Professional Services,"CONSULTANT, NON ENGINEERING;"
"J & C Property Investments, LLC","2393 Springhill Rd Greenville, North Carolina 27858 United States",Uncategorized,"J & C Property Investments, LLC"
"J & D CONCESSIONS CONCEPTS, INC.","3210 CHERRY CREEK DRIVE Missouri City, Texas 77459-3503 United States",Food & Dining,Fast Food Mobile Concession Vendor of hot and cold made to order foods.
"J & E ASSOCIATES, INC.","8601 GEORGIA AVENUE, SUITE 505 Silver Spring, Maryland 20910 United States",Uncategorized,"J & E ASSOCIATES, INC."
J & E COMPANY,"405 SUNFLOWER DR. Pflugerville, Texas 78660-4158 United States",Finance & Legal,"Other Services, including Legal Services,"
"J & E EXPRESS MOBILE DETAILING SERVICE, INC.","4605 DEEPWOOD COURT Bowie, Maryland 20720 United States",Uncategorized,"J & E EXPRESS MOBILE DETAILING SERVICE, INC."
"J & I TRUCKING, INC.","13279 C.R. 217 Arp, Texas 75750 United States",Transportation,HAULING TX12214
J & J ASBESTOS ABATEMENT CORP,"275 BROOKLYN NAVY YARD BROOKLYN, New York 11205 United States",Buliding & Construction,J & J ASBESTOS ABATEMENT CORP
"J & J CONCRETE CONSTRUCTION, LLC","3540 DERBY SHIRE CIRCLE WINDSOR MILL, Maryland 21244 United States",Buliding & Construction,"J & J CONCRETE CONSTRUCTION, LLC"
"J & J Construction Architectural Woodwork, Inc.","P.O. Box 266 East Taunton, Massachusetts 02718 United States",Buliding & Construction,"finished carpentry contractor, including architectural millwork, construction, remodeling, and finished woodwork"
J & J CONSTRUCTION OF THE CAPITAL DISTRI,"1692 CENTRAL AVENUE Albany, New York 12205 United States",Buliding & Construction,J & J CONSTRUCTION OF THE CAPITAL DISTRI
"J & J FIRE PROTECTION, LLC","142 48TH PLACE NE Washington, District of Columbia 20019 United States",Uncategorized,"J & J FIRE PROTECTION, LLC"
"J & J Rough Deconstruction Cleanup, LLC","15 Lewis Street Hartford, Connecticut 06103 United States",Buliding & Construction,Exterior and Interior Construction Cleanup; Landscaping; Snow Removal from Roof Tops; Painting; Flooring; Acoustical Work; Woodworking; Drywall and Fi
J & J TREE & LAWN SERVICE,"586 JONES ROAD Severn, Maryland 21144 United States",Home & Garden,J & J TREE & LAWN SERVICE
J & J UNITED INDUSTRIES LLC,"17901 WOODLAND DRIVE SUITE 200 NEW BOSTON, Michigan 48164-0000 United States",Uncategorized,DISTRIBUTOR AND MANUFACTURE OF MECHANICAL COMPONENTS AND ASSEMBLIES
"J & J United Industries, LLC","17901 Woodland Drive Suite 200 NEW BOSTON, Michigan 48164 United States",Uncategorized,Material Supplier Other Miscellaneous
J & L ELECTRIC COMPANY INC,"P O BOX 11815 Daytona Beach, Florida 32120 United States",Buliding & Construction,ELECTRICAL CONTRACTOR
J & L ENTERPRISES SYSTEMS INC,"280 WEST 155TH STREET New York, New York 10039 United States",Business Services,J & L ENTERPRISES SYSTEMS INC
"J & M CONTRACTING, COMPANY","1643 STATE HIGHWAY 75 N Huntsville, Texas 77320-1095 United States",Buliding & Construction,"HIGHWAY CONSTRUCTION, COMMERCIAL BUILDINGS, RENOVATIONS, DEMOLITION WORK"
J & M ELECTRIC,"3910 S. GEORGIA STREET Amarillo, Texas 79109 United States",Buliding & Construction,"ELECTRICAL CONTRACTOR,BUILDINGS,ROADS,PARKING LOTS,NEW CONSTRUCTION,REMODELED ROADS ETC......"
J & M LEASING & TRUCKING,"117 SOUTH 4TH STREET Richmond, California 94804 United States",Transportation,HAZARDOUS WASTE TRUCKING; TRUCK RENTAL; TRUCKER; MISC TRANSPORTATION SERVICES;
J & O SECURITY SERVICES INC,"4557 WHITE PLAINS ROAD BRONX, New York 10470 United States",Business Services,J & O SECURITY SERVICES INC
"J & O TRUCKING, LLC","27886 POINTERS LANE Salisbury, Maryland 21801 United States",Transportation,"J & O TRUCKING, LLC"
"J & P CHILDS TRANSPORTATION, LLC","5011 WESTHILLS ROAD Baltimore, Maryland 21229 United States",Transportation,"J & P CHILDS TRANSPORTATION, LLC"
"J & R CONCRETE PUMPING, LLC","106 W. 19TH STREET Reserve, Louisiana 70084 United States",Buliding & Construction,"Concrete Pumping; Concrete Walks, Drives And Incidental Paving"
"J & R TRANSPORTATION SERVICE, INC.","5708 BLAND AVENUE Baltimore, Maryland 21215-4036 United States",Transportation,"J & R TRANSPORTATION SERVICE, INC."
"J & R TRUCKING, INC.","1610 N PRESCOTT ST Portland, Oregon 97217 United States",Transportation,"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LOCAL"
J & T CONSTRUCTION & MANAGEMENT LLC,"7826 EASTERN AVE, NW. SUITE LL1 Washington, District of Columbia 20012 United States",Buliding & Construction,J & T CONSTRUCTION & MANAGEMENT LLC
J C TRIPLETT AND SONS MOVING,"4701 W WOOLWORTH AVENUE Box 5 Milwaukee, Wisconsin 53218 United States",Transportation,Material Supplier Trucking Other Miscellaneous
J D RUFFIN ASSOCIATES INC,"3111 UNIVERSITY DRIVE SUITE 1030 Coral Springs, Florida 33065 United States",Uncategorized,CONSULTANT AND AIRPORT CONCESSION SERVICES
J Duke Construction LLC,"3040 NE 190th Street Apartment 317 Miami, Florida 33180-0000 United States",Buliding & Construction,Commercial and Institurional Building Construction
"J F COOK COMPANY, INC.","7830 S. 10TH STREET Oak Creek, Wisconsin 53154 United States",Buliding & Construction,Material Supplier Building Construction
J Harris Trucking,"1915 W. Galena Milwaukee, Wisconsin 53205 United States",Transportation,Trucking
J HOWARD RESTAURANTS INC,"375 WEST 125TH STREET New York, New York 10027 United States",Business Services,J HOWARD RESTAURANTS INC
"J L M STAFFING SOLUTIONS, INC.","9431 HAVEN AVENUE #217 Rancho Cucamonga, California 91730 United States",Professional Services,"CONSULTANT, NON ENGINEERING; PERSONNEL SUPPLY SERVICES; SERVICES, NEC (NOT ELSEWHERE CLASSIFIED);"
J LAWSON & ASSOCIATES,"10545 BURBANK BLVD., # 111 NORTH HOLLYWOOD, California 91601 United States",Uncategorized,"Electronic Components, N.E.C.; SERVICES, NEC (NOT ELSEWHERE CLASSIFIED);"
"J M D ENGINEERING, INC.","1543 W. GARVEY AVENUE NORTH West Covina, California 91790 United States",Buliding & Construction,DRAFTING; BUILDING CONSTRUCTION; INTEGRATED SYSTEMS & CAD/CAM SYSTEMS;
J M DIXON & ASSOCIATES,"7901 OLAND COURT New Carrollton, Maryland 20784 United States",Uncategorized,J M DIXON & ASSOCIATES
J M HALE AND ASSOCIATES,"1100 S. FLOWER SUITE 2100 Los Angeles, California 90015 United States",Information Technology,COMPUTER & DATA PROCESSING SERVICES; COMPUTER PROGRAMMING; COMPUTER MAINTENANCE & REPAIR;
J M J BUILDERS ENTERPRISE INCORPORATED,"385 MONROE STREET APT 16 BROOKLYN, New York 11221 United States",Buliding & Construction,J M J BUILDERS ENTERPRISE INCORPORATED
J M W COMPANY,"3859 S. ORANGE DRIVE Los Angeles, California 90008 United States",Buliding & Construction,"CONSULTANT, NON ENGINEERING; BUILDING CONSTRUCTION; RESEARCH & TESTING SERVICES; A General Engineering Contractor; General Building Contractor; Hazard"
"J MAJORS & ASSOCIATES PR AND EVENT MANAGEMENT, LLC","4012 MOZART DRIVE El Sobrante, California 94803 United States",Professional Services,"CONSULTANT, NON ENGINEERING; PUBLIC RELATIONS; MANAGEMENT & PUBLIC RELATIONS;"
J P DESIGN INC,"235 WEST 135TH STREET (STOREFRONT) New York, New York 10030 United States",Buliding & Construction,J P DESIGN INC
"J P TERMITE, INC.","813 S. PRAIRIE AVENUE Inglewood, California 90301 United States",Home & Garden,EXTERMINATORS;
J S MITCHELL CONSTRUCTION,"824 ARIZONA AVE. Wake Village, Texas 75501-6114 United States",Buliding & Construction,"Commercial & Residential Construction from ground up; framing, roofing, wood & metal studs, drywall hanging, drywall finishing, painting, ceiling grid"
"J STAR ENTERPRISES, INC.","2136 COMET STREET New Orleans, Louisiana 70131 United States",Buliding & Construction,Masonry; Core Drilling; Saw Cutting; Portland Cement Concrete Pavement; Portland Cement Concrete Pavement Rehabilitation; Culverts and Storm Drains; M
J T CONSTRUCTION COMPANY,"3934 RODGERS AVE Jacksonville, Florida 322081220 United States",Buliding & Construction,POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS
"J T DILLARD, LLC","25906 EMERY RD Cleveland, Ohio 44128 United States",Uncategorized,MISC DURABLE GOODS;
J T FLOORING & CARPENTRY INSTALLATION SERVICES INC,"2113 OPA LOCKA BOULEVARD OPA LOCKA, Florida 33054-0000 United States",Uncategorized,FLOOR LAYING AND OTHER FLOOR CONTRACTORS
J VANN TRUCKING,"6028 HAYTER AVENUE Lakewood, California 90712 United States",Transportation,TRUCKER;
J W DAUGHTER TRUCKING LLC,"12 COLBY STREET Albany, New York 12206 United States",Business Services,J W DAUGHTER TRUCKING LLC
J W ELECTRIC CORP,"1106 EAST 43RD STREET BROOKLYN, New York 11210 United States",Buliding & Construction,J W ELECTRIC CORP
J WIILLIAMS SERVICES INC,"408 S MONTGOMERY AVE DELAND, Florida 32720 United States",Buliding & Construction,ELECTRICAL WIRING OF 600 VOLTS AND UNDER WITHIN BUILDINGS
J WILLIAMS SERVICES INC,"408 S MONTGOMERY AVENUE DELAND, Florida 32720 United States",Buliding & Construction,ELECTRICAL WIRING OF 600 VOLTS AND UNDER WITHIN BUILDING
J&B CONSTRUCTION,"P.O. BOX 741945 Houston, Texas 77274-1945 United States",Buliding & Construction,General contractor specializing in building construction
"J&C CONSULTING SERVICES, INC","2245 82ND AVENUE Oakland, California 94605 United States",Uncategorized,DRAFTING; Computer-aided Design & DRAFTING (CADD);
"J&M FASTENERS, INC.","181 MAYHEW WAY, SUITE B Walnut Creek, California 94597 United States",Uncategorized,MISC SUPPLIERS; BUILDING MATERIAL; HARDWARE STORES;
J&M WIGS,"406 W 22nd St Lombard, Illinois 60148 United States",Legal,"Specializing In: All phases of Hair Replacement, Enhancements and Healthy Hair"
J&S SAFETY CONSULTANTS LLC,"421 ELSIE AVE South Plainfield, New Jersey 7080 United States",Buliding & Construction,J&S SAFETY CONSULTANTS LLC
J-BJ MARKETING,"1412 MAIN ST SUITE 1900 Dallas, Texas 75202 United States",Professional Services,MARKETING MANAGEMENT CONSULTING SERVICES
"J-DOS INTERNATIONALE, INC.","4506 14TH STREET, NW Washington, District of Columbia 20011 United States",Uncategorized,"J-DOS INTERNATIONALE, INC."
"J-TEAM TRUCKING, LLC","11403 HERSHEY RED PLACE Clinton, Maryland 20735 United States",Transportation,"J-TEAM TRUCKING, LLC"
J. A. CADDELL TRUCKING,"8323 S. SAN PEDRO STREET Los Angeles, California 90003 United States",Transportation,BOTTOM DUMP TRUCKING;
